customer_id;invoice_date;age;gender;item Purchased;category;season;size;color
16;11/02/2018;67;Male;Scarf;Accessories;Spring;M;Orange
43;12/02/2018;20;Male;Coat;Outerwear;Spring;M;Beige
44;13/02/2018;25;Male;Scarf;Accessories;Fall;L;Lavender
10;14/02/2018;39;Male;Hat;Accessories;Summer;S;Silver
46;15/02/2018;50;Male;Socks;Clothing;Fall;XL;Indigo
47;16/02/2018;57;Male;Shirt;Clothing;Summer;L;White
20;17/02/2018;55;Male;Jewelry;Accessories;Winter;M;Charcoal
10;18/02/2018;16;Male;Shirt;Clothing;Summer;M;Orange
50;19/02/2018;68;Male;Hoodie;Clothing;Spring;S;Indigo
51;20/02/2018;10;Male;Blouse;Clothing;Spring;M;Red
52;21/02/2018;59;Male;Skirt;Clothing;Winter;XL;Gray
53;22/02/2018;16;Male;T shirt;Clothing;Summer;M;Green
54;23/02/2018;29;Male;Skirt;Clothing;Winter;S;Peach
55;24/02/2018;47;Male;Coat;Outerwear;Summer;M;Brown
56;25/02/2018;14;Male;Jacket;Outerwear;Winter;M;Lavender
57;26/02/2018;15;Male;Backpack;Accessories;Summer;XL;Brown
58;27/02/2018;21;Male;Coat;Outerwear;Summer;M;White
59;28/02/2018;69;Male;Hoodie;Clothing;Summer;M;Charcoal
60;01/03/2018;63;Male;Belt;Accessories;Spring;L;Yellow
61;02/03/2018;50;Male;Sweater;Clothing;Summer;L;Brown
62;03/03/2018;55;Male;Scarf;Accessories;Winter;M;Orange
63;04/03/2018;30;Male;Sneakers;Footwear;Spring;S;Magenta
64;05/03/2018;33;Male;Sunglasses;Accessories;Winter;L;Lavender
65;06/03/2018;65;Male;Boots;Footwear;Fall;S;Green
66;07/03/2018;65;Male;Backpack;Accessories;Spring;M;Purple
67;08/03/2018;31;Male;Blouse;Clothing;Winter;S;Magenta
68;09/03/2018;10;Male;Coat;Outerwear;Winter;L;Gray
69;10/03/2018;57;Male;Handbag;Accessories;Summer;L;Silver
70;11/03/2018;20;Male;Belt;Accessories;Summer;S;Cyan
71;12/03/2018;22;Male;Belt;Accessories;Fall;M;Magenta
72;13/03/2018;36;Male;Dress;Clothing;Summer;L;Gold
73;14/03/2018;18;Male;Dress;Clothing;Winter;M;Olive
74;15/03/2018;20;Male;Pants;Clothing;Spring;M;Teal
75;16/03/2018;10;Male;Gloves;Accessories;Spring;L;Violet
76;17/03/2018;64;Male;Scarf;Accessories;Summer;M;Blue
77;18/03/2018;50;Male;Hat;Accessories;Summer;S;Teal
78;19/03/2018;22;Male;Dress;Clothing;Summer;L;Gold
79;20/03/2018;50;Male;Skirt;Clothing;Spring;M;Maroon
80;21/03/2018;38;Male;Jacket;Outerwear;Winter;M;Olive
81;22/03/2018;19;Male;Sandals;Footwear;Summer;XL;Blue
82;23/03/2018;67;Male;Shoes;Footwear;Summer;L;Maroon
83;24/03/2018;19;Male;Pants;Clothing;Spring;S;Olive
84;25/03/2018;36;Male;Dress;Clothing;Summer;M;Turquoise
85;26/03/2018;52;Male;Coat;Outerwear;Spring;S;Peach
86;27/03/2018;53;Male;Sunglasses;Accessories;Winter;M;Charcoal
87;28/03/2018;24;Male;Hoodie;Clothing;Spring;L;Pink
88;29/03/2018;52;Male;Shoes;Footwear;Fall;M;Green
89;30/03/2018;33;Male;T shirt;Clothing;Fall;M;Orange
90;31/03/2018;47;Male;Jacket;Outerwear;Fall;XL;Pink
91;01/04/2018;25;Male;Hat;Accessories;Summer;L;Violet
92;02/04/2018;44;Male;Scarf;Accessories;Winter;S;Green
93;03/04/2018;61;Male;Jacket;Outerwear;Winter;M;Olive
94;04/04/2018;37;Male;Sweater;Clothing;Fall;M;Purple
95;05/04/2018;58;Male;Skirt;Clothing;Spring;S;Silver
96;06/04/2018;37;Male;Sneakers;Footwear;Fall;L;Pink
97;07/04/2018;32;Male;Gloves;Accessories;Spring;S;Gold
98;08/04/2018;21;Male;Shoes;Footwear;Winter;M;Teal
99;09/04/2018;20;Male;Jeans;Clothing;Spring;XL;Teal
100;10/04/2018;26;Male;Hoodie;Clothing;Summer;XL;Indigo
101;11/04/2018;62;Male;Sunglasses;Accessories;Fall;M;Maroon
102;12/04/2018;27;Male;Coat;Outerwear;Spring;XL;White
103;13/04/2018;51;Male;Socks;Clothing;Winter;L;Violet
104;14/04/2018;54;Male;Boots;Footwear;Winter;L;Red
105;15/04/2018;55;Male;Sunglasses;Accessories;Spring;L;Pink
106;16/04/2018;69;Male;Backpack;Accessories;Fall;M;Charcoal
107;17/04/2018;64;Male;Jacket;Outerwear;Summer;L;White
108;18/04/2018;28;Male;Sneakers;Footwear;Winter;L;Olive
109;19/04/2018;70;Male;Socks;Clothing;Spring;L;Purple
110;20/04/2018;58;Male;T shirt;Clothing;Spring;M;Violet
111;21/04/2018;56;Male;Backpack;Accessories;Summer;M;Black
112;22/04/2018;26;Male;Belt;Accessories;Summer;L;Purple
113;23/04/2018;37;Male;Gloves;Accessories;Spring;M;Red
114;24/04/2018;44;Male;Hat;Accessories;Winter;L;Maroon
115;25/04/2018;70;Male;Coat;Outerwear;Summer;S;Blue
116;26/04/2018;53;Male;Skirt;Clothing;Spring;M;Gray
117;27/04/2018;55;Male;Shoes;Footwear;Spring;S;Blue
118;28/04/2018;50;Male;Sandals;Footwear;Summer;L;Yellow
119;29/04/2018;50;Male;Sweater;Clothing;Fall;L;Orange
120;30/04/2018;38;Male;Coat;Outerwear;Fall;M;Orange
121;01/05/2018;64;Male;Hat;Accessories;Summer;L;Red
122;02/05/2018;19;Male;Shorts;Clothing;Winter;M;Olive
123;03/05/2018;14;Male;Backpack;Accessories;Spring;L;Brown
124;04/05/2018;57;Male;Sweater;Clothing;Fall;L;Brown
125;05/05/2018;44;Male;Sweater;Clothing;Spring;M;Gray
126;06/05/2018;10;Male;Shorts;Clothing;Winter;M;Indigo
127;07/05/2018;43;Male;Shorts;Clothing;Spring;L;Pink
128;08/05/2018;24;Male;Sweater;Clothing;Winter;M;Gray
129;09/05/2018;20;Male;Scarf;Accessories;Spring;M;Gold
130;10/05/2018;24;Male;Dress;Clothing;Summer;XL;Olive
131;11/05/2018;44;Male;Scarf;Accessories;Fall;L;Violet
132;12/05/2018;28;Male;Skirt;Clothing;Summer;L;Indigo
133;13/05/2018;30;Male;Backpack;Accessories;Fall;M;Orange
134;14/05/2018;52;Male;Sweater;Clothing;Winter;M;Violet
135;15/05/2018;43;Male;Hat;Accessories;Fall;L;Gray
136;16/05/2018;43;Male;Sandals;Footwear;Fall;M;Purple
137;17/05/2018;39;Male;Blouse;Clothing;Winter;M;White
138;18/05/2018;68;Male;Sneakers;Footwear;Spring;M;Turquoise
139;19/05/2018;68;Male;Skirt;Clothing;Winter;M;Maroon
114;20/05/2018;10;Male;Coat;Outerwear;Fall;M;White
115;21/05/2018;63;Male;Shirt;Clothing;Fall;L;Yellow
116;22/05/2018;56;Male;Gloves;Accessories;Fall;M;Turquoise
143;23/05/2018;37;Male;Jacket;Outerwear;Fall;L;Violet
144;24/05/2018;30;Male;Coat;Outerwear;Fall;M;Beige
110;25/05/2018;19;Male;Shoes;Footwear;Fall;M;Silver
146;26/05/2018;24;Male;Jewelry;Accessories;Fall;M;Teal
147;27/05/2018;52;Male;Skirt;Clothing;Fall;S;Black
120;28/05/2018;63;Male;Shoes;Footwear;Summer;M;Purple
110;29/05/2018;37;Male;Gloves;Accessories;Fall;M;Gray
150;30/05/2018;38;Male;Pants;Clothing;Summer;M;White
151;31/05/2018;35;Male;Boots;Footwear;Fall;L;Cyan
152;01/06/2018;28;Male;Sunglasses;Accessories;Fall;L;Turquoise
153;02/06/2018;30;Male;Shirt;Clothing;Summer;S;Brown
154;03/06/2018;69;Male;Hoodie;Clothing;Winter;M;Maroon
155;04/06/2018;15;Male;Dress;Clothing;Fall;M;Charcoal
156;05/06/2018;63;Male;Socks;Clothing;Spring;S;Olive
157;06/06/2018;35;Male;Shorts;Clothing;Fall;M;Lavender
158;07/06/2018;36;Male;Hat;Accessories;Fall;S;Yellow
159;08/06/2018;25;Male;Shirt;Clothing;Fall;XL;Teal
160;09/06/2018;58;Male;Gloves;Accessories;Fall;M;Charcoal
161;10/06/2018;27;Male;Gloves;Accessories;Summer;M;Orange
162;11/06/2018;65;Male;Backpack;Accessories;Fall;M;Olive
163;12/06/2018;54;Male;Sunglasses;Accessories;Summer;M;Turquoise
164;13/06/2018;54;Male;Skirt;Clothing;Summer;M;Purple
165;14/06/2018;59;Male;Handbag;Accessories;Spring;S;Purple
166;15/06/2018;16;Male;Handbag;Accessories;Winter;S;Yellow
167;16/06/2018;46;Male;Sneakers;Footwear;Fall;XL;Indigo
168;17/06/2018;33;Male;Gloves;Accessories;Fall;M;Green
169;18/06/2018;34;Male;Shoes;Footwear;Summer;M;Magenta
170;19/06/2018;27;Male;Jacket;Outerwear;Summer;S;Gold
171;20/06/2018;52;Male;Shirt;Clothing;Fall;M;Maroon
172;21/06/2018;29;Male;Shorts;Clothing;Summer;M;Blue
173;22/06/2018;54;Male;Jewelry;Accessories;Summer;M;Violet
174;23/06/2018;25;Male;Hat;Accessories;Fall;M;Turquoise
175;24/06/2018;15;Male;Shoes;Footwear;Winter;L;Brown
176;25/06/2018;53;Male;Coat;Outerwear;Fall;L;Violet
177;26/06/2018;53;Male;Backpack;Accessories;Spring;L;Black
178;27/06/2018;21;Male;Hoodie;Clothing;Fall;L;Magenta
179;28/06/2018;61;Male;Skirt;Clothing;Fall;L;Lavender
180;29/06/2018;64;Male;Boots;Footwear;Fall;M;Violet
181;30/06/2018;51;Male;Sandals;Footwear;Fall;L;Green
182;01/07/2018;32;Male;Pants;Clothing;Summer;M;Beige
183;02/07/2018;38;Male;Gloves;Accessories;Summer;XL;Purple
184;03/07/2018;58;Male;Skirt;Clothing;Spring;XL;Beige
185;04/07/2018;32;Male;Sneakers;Footwear;Spring;L;Cyan
186;05/07/2018;46;Male;T shirt;Clothing;Summer;XL;Silver
187;06/07/2018;39;Male;Backpack;Accessories;Summer;S;Lavender
188;07/07/2018;19;Male;Shoes;Footwear;Spring;S;Purple
189;08/07/2018;50;Male;Hoodie;Clothing;Spring;M;Pink
190;09/07/2018;36;Male;Blouse;Clothing;Fall;M;Maroon
191;10/07/2018;65;Male;Coat;Outerwear;Fall;XL;Beige
192;11/07/2018;64;Male;Hat;Accessories;Fall;M;Gray
193;12/07/2018;46;Male;Shoes;Footwear;Summer;L;Turquoise
194;13/07/2018;36;Male;Belt;Accessories;Fall;S;Silver
195;14/07/2018;51;Male;Backpack;Accessories;Spring;M;Olive
196;15/07/2018;51;Male;Jacket;Outerwear;Fall;M;Magenta
197;16/07/2018;38;Male;Boots;Footwear;Summer;M;Lavender
198;17/07/2018;59;Male;Scarf;Accessories;Fall;M;Black
199;18/07/2018;57;Male;Jewelry;Accessories;Winter;M;Turquoise
200;19/07/2018;54;Male;Hat;Accessories;Summer;XL;Green
201;20/07/2018;25;Male;Dress;Clothing;Summer;S;Teal
202;21/07/2018;69;Male;Blouse;Clothing;Fall;S;Beige
203;22/07/2018;57;Male;Hat;Accessories;Spring;L;Magenta
204;23/07/2018;70;Male;Scarf;Accessories;Fall;S;Yellow
205;24/07/2018;24;Male;Sneakers;Footwear;Fall;M;Yellow
206;25/07/2018;67;Male;Shirt;Clothing;Winter;M;Silver
207;26/07/2018;24;Male;T shirt;Clothing;Summer;L;Silver
208;27/07/2018;62;Male;Gloves;Accessories;Summer;M;Silver
209;28/07/2018;57;Male;Skirt;Clothing;Spring;M;Gold
210;29/07/2018;55;Male;Sandals;Footwear;Winter;S;Olive
211;30/07/2018;10;Male;Jacket;Outerwear;Fall;L;Teal
212;31/07/2018;69;Male;Skirt;Clothing;Fall;L;Maroon
213;01/08/2018;67;Male;Handbag;Accessories;Fall;L;Blue
214;02/08/2018;30;Male;Handbag;Accessories;Fall;L;Peach
215;03/08/2018;24;Male;Jacket;Outerwear;Summer;L;Blue
216;04/08/2018;62;Male;Scarf;Accessories;Spring;S;Orange
217;05/08/2018;43;Male;Shorts;Clothing;Spring;L;Yellow
218;06/08/2018;35;Male;Sunglasses;Accessories;Winter;M;Purple
219;07/08/2018;28;Male;T shirt;Clothing;Spring;S;Magenta
220;08/08/2018;32;Male;Belt;Accessories;Spring;M;Cyan
221;09/08/2018;39;Male;Sneakers;Footwear;Spring;S;Indigo
222;10/08/2018;28;Male;Hat;Accessories;Summer;XL;Magenta
223;11/08/2018;47;Male;Gloves;Accessories;Spring;XL;Gray
224;12/08/2018;20;Male;Pants;Clothing;Spring;M;Turquoise
225;13/08/2018;63;Male;Socks;Clothing;Summer;S;Beige
226;14/08/2018;25;Male;Jacket;Outerwear;Spring;M;Olive
227;15/08/2018;29;Male;Shoes;Footwear;Spring;L;Violet
228;16/08/2018;50;Male;Jeans;Clothing;Winter;M;Turquoise
229;17/08/2018;18;Male;Socks;Clothing;Spring;M;White
230;18/08/2018;70;Male;Sandals;Footwear;Spring;S;Silver
231;19/08/2018;66;Male;Scarf;Accessories;Fall;L;Olive
232;20/08/2018;28;Male;Blouse;Clothing;Spring;M;Blue
233;21/08/2018;54;Male;Jewelry;Accessories;Winter;L;Purple
234;22/08/2018;19;Male;Sweater;Clothing;Fall;XL;Yellow
235;23/08/2018;20;Male;Gloves;Accessories;Summer;S;Silver
236;24/08/2018;43;Male;Sunglasses;Accessories;Winter;M;Cyan
237;25/08/2018;38;Male;Coat;Outerwear;Winter;L;Green
238;26/08/2018;50;Male;Dress;Clothing;Summer;M;Beige
239;27/08/2018;64;Male;Skirt;Clothing;Fall;M;Peach
214;28/08/2018;10;Male;Pants;Clothing;Summer;L;Yellow
215;29/08/2018;47;Male;Sweater;Clothing;Winter;XL;Turquoise
216;30/08/2018;36;Male;Hoodie;Clothing;Winter;M;Peach
243;31/08/2018;55;Male;Coat;Outerwear;Summer;L;Gray
244;01/09/2018;25;Male;Jewelry;Accessories;Winter;M;Olive
210;02/09/2018;53;Male;Belt;Accessories;Spring;S;Indigo
246;03/09/2018;10;Male;Sandals;Footwear;Summer;L;Charcoal
247;04/09/2018;35;Male;Sunglasses;Accessories;Spring;XL;Beige
220;05/09/2018;29;Male;Sweater;Clothing;Spring;XL;Brown
210;06/09/2018;47;Male;Belt;Accessories;Winter;M;Blue
250;07/09/2018;53;Male;Handbag;Accessories;Fall;S;Teal
251;08/09/2018;33;Male;Skirt;Clothing;Fall;L;Black
252;09/09/2018;21;Male;Handbag;Accessories;Winter;XL;Gold
253;10/09/2018;32;Male;Shorts;Clothing;Summer;M;Violet
254;11/09/2018;52;Male;Boots;Footwear;Winter;L;Cyan
255;12/09/2018;67;Male;Sunglasses;Accessories;Winter;M;White
256;13/09/2018;43;Male;Scarf;Accessories;Spring;M;Charcoal
257;14/09/2018;58;Male;Jewelry;Accessories;Spring;XL;Violet
258;15/09/2018;20;Male;Handbag;Accessories;Summer;M;Red
259;16/09/2018;61;Male;Gloves;Accessories;Spring;S;Lavender
260;17/09/2018;32;Male;Jeans;Clothing;Fall;M;Gold
261;18/09/2018;38;Male;Hat;Accessories;Winter;S;Red
262;19/09/2018;21;Male;Jeans;Clothing;Winter;L;Magenta
263;20/09/2018;37;Male;Pants;Clothing;Summer;M;Teal
264;21/09/2018;27;Female;Shorts;Clothing;Summer;M;Purple
265;22/09/2018;36;Female;Pants;Clothing;Fall;S;Charcoal
266;23/09/2018;32;Female;Backpack;Accessories;Spring;M;Gray
267;24/09/2018;51;Female;Jewelry;Accessories;Summer;L;White
268;25/09/2018;64;Female;Sweater;Clothing;Spring;M;Olive
269;26/09/2018;68;Female;Shoes;Footwear;Spring;M;Charcoal
270;27/09/2018;68;Female;Blouse;Clothing;Winter;M;Charcoal
271;28/09/2018;33;Female;Jeans;Clothing;Fall;XL;Orange
272;29/09/2018;65;Female;Sunglasses;Accessories;Summer;XL;Yellow
273;30/09/2018;20;Female;Jewelry;Accessories;Summer;M;Beige
274;01/10/2018;69;Female;Coat;Outerwear;Spring;S;Silver
275;02/10/2018;59;Female;Jewelry;Accessories;Spring;M;Indigo
276;03/10/2018;20;Female;Backpack;Accessories;Winter;XL;Lavender
277;04/10/2018;25;Female;Skirt;Clothing;Fall;XL;Turquoise
278;05/10/2018;29;Female;Shirt;Clothing;Winter;M;Green
279;06/10/2018;57;Female;Sweater;Clothing;Spring;M;Orange
280;07/10/2018;23;Female;Sneakers;Footwear;Summer;L;Turquoise
281;08/10/2018;10;Female;Sandals;Footwear;Fall;S;Cyan
282;09/10/2018;38;Female;Belt;Accessories;Spring;XL;Charcoal
283;10/10/2018;21;Female;Skirt;Clothing;Summer;M;Teal
284;11/10/2018;32;Female;Sweater;Clothing;Fall;S;Maroon
285;12/10/2018;63;Female;Skirt;Clothing;Summer;M;Red
286;13/10/2018;29;Female;Handbag;Accessories;Summer;XL;Yellow
287;14/10/2018;27;Female;Jewelry;Accessories;Summer;L;Gray
288;15/10/2018;56;Female;Scarf;Accessories;Spring;L;Blue
289;16/10/2018;30;Female;T shirt;Clothing;Winter;M;Lavender
290;17/10/2018;10;Female;Coat;Outerwear;Fall;M;Yellow
291;18/10/2018;58;Female;T shirt;Clothing;Winter;M;Indigo
292;19/10/2018;57;Female;Dress;Clothing;Fall;XL;Violet
293;20/10/2018;60;Female;Shoes;Footwear;Spring;M;Green
294;21/10/2018;69;Female;Handbag;Accessories;Spring;M;White
295;22/10/2018;70;Female;Skirt;Clothing;Spring;M;Gold
296;23/10/2018;53;Female;Sunglasses;Accessories;Winter;M;Indigo
297;24/10/2018;25;Female;Sandals;Footwear;Spring;S;Lavender
298;25/10/2018;20;Female;Shoes;Footwear;Summer;XL;Purple
299;26/10/2018;69;Female;T shirt;Clothing;Winter;M;Lavender
300;27/10/2018;25;Female;Sneakers;Footwear;Summer;M;Maroon
301;28/10/2018;29;Female;Hat;Accessories;Spring;M;Teal
302;29/10/2018;46;Female;Skirt;Clothing;Spring;M;Green
303;30/10/2018;37;Female;Sweater;Clothing;Summer;L;Olive
304;31/10/2018;20;Female;Sandals;Footwear;Summer;M;Turquoise
305;01/11/2018;14;Female;Dress;Clothing;Winter;M;Green
306;02/11/2018;60;Female;Sweater;Clothing;Fall;M;Teal
307;03/11/2018;26;Female;Jacket;Outerwear;Summer;S;White
308;04/11/2018;29;Female;Gloves;Accessories;Winter;M;Orange
309;05/11/2018;66;Female;Handbag;Accessories;Fall;M;Beige
310;06/11/2018;66;Female;Dress;Clothing;Spring;M;Yellow
311;07/11/2018;56;Female;Pants;Clothing;Winter;M;Charcoal
312;08/11/2018;69;Female;Jeans;Clothing;Winter;L;Silver
313;09/11/2018;38;Female;Pants;Clothing;Spring;L;Green
314;10/11/2018;16;Female;Dress;Clothing;Spring;M;Pink
315;11/11/2018;30;Female;Pants;Clothing;Summer;M;Purple
316;12/11/2018;66;Female;Jewelry;Accessories;Spring;XL;Orange
317;13/11/2018;36;Female;Handbag;Accessories;Fall;M;Charcoal
318;14/11/2018;58;Female;Sweater;Clothing;Fall;L;Teal
319;15/11/2018;10;Female;Backpack;Accessories;Winter;M;Beige
320;16/11/2018;47;Female;Shorts;Clothing;Spring;XL;White
321;17/11/2018;66;Female;Jewelry;Accessories;Summer;L;White
322;18/11/2018;15;Female;Sneakers;Footwear;Summer;L;Orange
323;19/11/2018;15;Female;Belt;Accessories;Winter;S;Cyan
324;20/11/2018;66;Female;Hoodie;Clothing;Winter;M;Orange
325;21/11/2018;37;Female;Shirt;Clothing;Summer;M;Olive
326;22/11/2018;70;Female;Pants;Clothing;Winter;M;Charcoal
327;23/11/2018;62;Female;Scarf;Accessories;Fall;M;White
328;24/11/2018;61;Female;Coat;Outerwear;Summer;M;Teal
329;25/11/2018;20;Female;Coat;Outerwear;Fall;M;Yellow
330;26/11/2018;70;Female;Socks;Clothing;Summer;S;White
331;27/11/2018;46;Female;Sweater;Clothing;Winter;M;Beige
332;28/11/2018;31;Female;Shirt;Clothing;Fall;L;Beige
333;29/11/2018;19;Female;Shirt;Clothing;Winter;M;Maroon
334;30/11/2018;39;Female;Sweater;Clothing;Winter;M;Teal
335;01/12/2018;15;Female;Blouse;Clothing;Fall;M;Lavender
336;02/12/2018;20;Female;Sweater;Clothing;Spring;L;Maroon
337;03/12/2018;36;Female;Hat;Accessories;Fall;S;Orange
338;04/12/2018;32;Female;Sweater;Clothing;Winter;M;Cyan
339;05/12/2018;69;Female;Hoodie;Clothing;Winter;M;Silver
314;06/12/2018;14;Female;Shorts;Clothing;Spring;M;Teal
315;07/12/2018;14;Female;Shorts;Clothing;Summer;L;Blue
316;08/12/2018;20;Female;Hat;Accessories;Summer;S;Blue
343;09/12/2018;64;Female;Coat;Outerwear;Spring;M;Olive
344;10/12/2018;27;Female;Sandals;Footwear;Summer;M;Purple
310;11/12/2018;24;Female;Skirt;Clothing;Winter;M;Charcoal
346;12/12/2018;20;Female;Shoes;Footwear;Winter;S;Olive
347;13/12/2018;10;Female;Jeans;Clothing;Spring;L;Violet
320;14/12/2018;36;Female;Sandals;Footwear;Fall;L;Red
310;15/12/2018;56;Female;Blouse;Clothing;Fall;M;Beige
350;16/12/2018;37;Female;Hat;Accessories;Winter;M;Green
351;17/12/2018;16;Female;Sweater;Clothing;Spring;M;Violet
352;18/12/2018;28;Female;Skirt;Clothing;Winter;M;Teal
353;19/12/2018;27;Female;Jeans;Clothing;Fall;XL;Yellow
354;20/12/2018;63;Female;Sneakers;Footwear;Fall;L;Yellow
355;21/12/2018;58;Female;Jewelry;Accessories;Fall;S;Olive
356;22/12/2018;37;Female;Jewelry;Accessories;Fall;XL;Magenta
357;23/12/2018;56;Female;Pants;Clothing;Spring;L;Black
358;24/12/2018;18;Female;Belt;Accessories;Spring;M;Olive
359;25/12/2018;20;Female;Hat;Accessories;Summer;XL;Magenta
360;26/12/2018;31;Female;Sneakers;Footwear;Winter;M;Olive
361;27/12/2018;51;Female;Pants;Clothing;Summer;M;Teal
362;28/12/2018;65;Female;T shirt;Clothing;Spring;M;White
363;29/12/2018;53;Female;Sneakers;Footwear;Fall;M;Charcoal
364;30/12/2018;55;Female;Shorts;Clothing;Winter;L;Yellow
365;31/12/2018;62;Female;Shoes;Footwear;Summer;L;Charcoal
366;01/01/2019;55;Female;Gloves;Accessories;Summer;XL;Gray
367;02/01/2019;64;Female;Socks;Clothing;Spring;M;Turquoise
368;03/01/2019;52;Female;Dress;Clothing;Spring;XL;Cyan
369;04/01/2019;24;Female;Handbag;Accessories;Spring;M;Charcoal
370;05/01/2019;38;Female;Belt;Accessories;Summer;M;Silver
371;06/01/2019;59;Female;Scarf;Accessories;Winter;M;Olive
372;07/01/2019;27;Female;Sneakers;Footwear;Winter;S;Pink
373;08/01/2019;24;Female;Sweater;Clothing;Summer;L;Orange
374;09/01/2019;23;Female;Coat;Outerwear;Summer;L;White
375;10/01/2019;69;Female;Jewelry;Accessories;Spring;S;Purple
376;11/01/2019;59;Female;Sunglasses;Accessories;Summer;M;Olive
377;12/01/2019;51;Female;Shoes;Footwear;Fall;S;Gray
378;13/01/2019;63;Female;Scarf;Accessories;Spring;M;Silver
379;14/01/2019;54;Female;Dress;Clothing;Winter;L;Orange
380;15/01/2019;32;Female;T shirt;Clothing;Fall;S;Magenta
381;16/01/2019;39;Female;Backpack;Accessories;Fall;XL;Beige
382;17/01/2019;66;Female;Jewelry;Accessories;Winter;L;Lavender
383;18/01/2019;28;Female;Jeans;Clothing;Winter;M;Peach
384;19/01/2019;50;Female;Sunglasses;Accessories;Fall;S;Magenta
385;20/01/2019;70;Female;Sweater;Clothing;Fall;M;Beige
386;21/01/2019;67;Female;Shorts;Clothing;Fall;S;Yellow
387;22/01/2019;64;Female;Jewelry;Accessories;Spring;L;Brown
388;23/01/2019;10;Female;Coat;Outerwear;Summer;L;Silver
389;24/01/2019;22;Female;Handbag;Accessories;Summer;M;Orange
390;25/01/2019;27;Female;Boots;Footwear;Spring;L;Purple
391;26/01/2019;25;Female;Gloves;Accessories;Winter;M;Indigo
392;27/01/2019;37;Female;Sweater;Clothing;Spring;L;Gray
393;28/01/2019;26;Female;T shirt;Clothing;Spring;XL;Black
394;29/01/2019;33;Female;Shoes;Footwear;Fall;L;Maroon
395;30/01/2019;43;Female;Scarf;Accessories;Spring;M;Beige
396;31/01/2019;37;Female;Sneakers;Footwear;Winter;L;Brown
397;01/02/2019;46;Female;Dress;Clothing;Fall;S;Black
398;02/02/2019;22;Female;Belt;Accessories;Fall;M;Indigo
399;03/02/2019;20;Female;Boots;Footwear;Winter;S;Silver
114;04/02/2019;60;Female;Scarf;Accessories;Fall;L;Blue
115;05/02/2019;39;Female;Boots;Footwear;Winter;M;Green
116;06/02/2019;43;Female;T shirt;Clothing;Fall;L;Orange
143;07/02/2019;31;Female;Backpack;Accessories;Fall;L;Cyan
144;08/02/2019;19;Female;Sneakers;Footwear;Winter;M;Orange
110;09/02/2019;35;Female;T shirt;Clothing;Spring;M;Indigo
