item_id;order_status;order_date;order_quantity
118;Returned;07/06/2009;18
119;Returned;27/07/2009;21
120;Returned;05/09/2011;30
121;Finished;11/01/2009;31
122;Finished;15/08/2010;2
123;Finished;05/08/2009;49
124;Finished;17/09/2011;31
125;Finished;22/10/2011;42
126;Finished;14/11/2009;8
127;Finished;03/07/2010;32
128;Returned;30/01/2009;31
129;Finished;15/03/2012;17
130;Finished;10/08/2009;35
131;Finished;01/04/2010;21
132;Finished;31/07/2010;49
133;Finished;29/05/2009;13
134;Finished;11/10/2010;44
135;Finished;18/05/2010;2
136;Finished;08/02/2011;13
137;Finished;07/12/2010;16
138;Returned;06/01/2009;30
139;Finished;12/03/2012;14
140;Finished;26/08/2010;26
141;Finished;20/06/2011;38
142;Finished;04/08/2010;1
143;Finished;23/11/2010;13
144;Finished;02/08/2009;24
145;Finished;10/08/2011;23
146;Finished;06/05/2010;41
147;Finished;28/06/2012;47
148;Finished;23/03/2011;6
149;Finished;19/11/2011;22
150;Finished;26/11/2012;3
151;Finished;29/07/2010;29
152;Finished;12/05/2012;24
153;Finished;03/03/2012;7
154;Finished;20/08/2010;49
155;Finished;27/06/2010;22
156;Finished;29/10/2012;36
157;Finished;16/01/2010;30
158;Finished;29/06/2012;6
159;Finished;08/08/2011;12
160;Finished;21/02/2010;11
161;Finished;20/06/2011;26
162;Finished;04/09/2009;8
163;Finished;21/06/2009;1
164;Finished;08/02/2012;48
165;Finished;11/03/2009;11
166;Finished;04/06/2011;3
167;Finished;02/03/2012;37
168;Finished;12/08/2011;48
169;Finished;01/09/2009;32
170;Finished;26/01/2010;32
171;Finished;02/09/2011;1
172;Finished;07/02/2012;1
173;Returned;19/03/2011;31
174;Finished;08/05/2011;19
175;Finished;25/09/2009;37
176;Finished;09/07/2012;2
177;Finished;14/01/2010;31
178;Finished;26/08/2009;2
179;Finished;08/10/2009;15
180;Finished;10/11/2011;35
181;Finished;15/04/2012;10
182;Finished;02/01/2012;10
183;Returned;08/03/2011;40
184;Finished;02/07/2009;50
185;Finished;15/04/2011;22
186;Finished;25/11/2011;49
187;Cancelled;25/11/2011;49
188;Returned;25/04/2012;11
189;Finished;26/03/2011;35
190;Finished;14/07/2010;17
191;Finished;23/10/2010;36
192;Finished;24/08/2009;27
193;Finished;09/06/2011;6
194;Finished;23/11/2012;21
195;Finished;01/05/2009;2
196;Finished;11/05/2012;4
197;Finished;15/10/2010;26
198;Finished;23/07/2011;12
199;Finished;11/07/2011;14
200;Finished;16/09/2012;15
201;Finished;16/01/2009;46
202;Cancelled;16/01/2009;46
203;Finished;20/10/2010;4
204;Finished;30/08/2010;8
205;Finished;07/05/2010;19
206;Finished;21/06/2011;8
207;Finished;24/11/2010;41
208;Finished;27/04/2012;3
209;Finished;28/08/2012;24
210;Finished;31/07/2011;20
211;Finished;06/10/2012;11
212;Finished;06/02/2010;4
213;Finished;17/10/2011;13
214;Finished;20/08/2009;31
215;Finished;14/06/2010;14
216;Finished;27/02/2010;31
217;Finished;15/08/2009;13
218;Finished;14/05/2011;6
219;Finished;07/10/2010;49
220;Finished;23/10/2009;5
221;Returned;09/06/2010;31
222;Finished;10/01/2011;39
223;Finished;30/01/2009;23
224;Finished;28/03/2011;45
225;Finished;22/11/2010;6
226;Finished;30/05/2011;33
227;Finished;13/05/2012;24
228;Finished;08/06/2010;24
229;Returned;29/11/2009;47
230;Finished;01/09/2012;46
231;Finished;26/02/2010;3
232;Finished;21/05/2012;32
233;Finished;08/11/2009;16
234;Returned;27/08/2010;1
235;Finished;17/08/2012;47
236;Finished;09/11/2012;29
237;Finished;02/06/2011;40
238;Finished;10/08/2011;31
239;Finished;27/02/2009;14
240;Finished;07/06/2010;10
241;Finished;17/02/2012;38
242;Returned;23/02/2012;26
243;Returned;15/10/2009;23
244;Finished;13/03/2009;3
245;Cancelled;13/03/2009;3
246;Finished;12/03/2010;36
247;Finished;07/07/2009;25
248;Finished;21/11/2012;22
249;Finished;02/03/2009;29
250;Finished;22/09/2011;7
251;Finished;21/07/2011;1
252;Finished;13/07/2009;45
253;Finished;29/03/2010;5
254;Finished;06/02/2010;15
255;Finished;12/09/2012;35
256;Finished;22/12/2010;12
257;Finished;30/05/2009;4
258;Finished;21/12/2012;19
259;Returned;14/02/2012;32
260;Finished;03/07/2010;20
261;Finished;16/05/2011;17
262;Finished;07/03/2010;42
263;Finished;27/04/2009;40
264;Finished;07/04/2012;21
265;Finished;31/12/2010;39
266;Finished;02/02/2010;45
267;Finished;15/04/2012;19
268;Finished;19/05/2010;48
269;Finished;27/07/2009;15
270;Finished;31/03/2009;1
271;Finished;11/06/2012;27
272;Finished;01/09/2010;40
273;Finished;09/08/2012;5
274;Finished;07/05/2010;37
275;Finished;25/08/2011;39
276;Finished;21/09/2010;20
277;Finished;30/06/2012;5
278;Finished;17/01/2011;34
279;Finished;10/10/2010;12
280;Finished;09/06/2011;43
281;Returned;26/06/2012;27
282;Finished;16/03/2010;46
283;Finished;13/11/2010;8
284;Finished;14/11/2009;12
285;Finished;12/09/2011;4
286;Returned;23/11/2009;48
287;Finished;10/07/2010;1
288;Finished;06/03/2009;26
289;Finished;17/02/2011;5
290;Finished;19/11/2011;12
291;Finished;03/06/2011;17
292;Finished;25/05/2010;2
293;Returned;30/05/2009;30
294;Finished;30/08/2012;43
295;Finished;16/12/2011;50
296;Finished;09/12/2009;9
297;Returned;03/07/2012;49
298;Finished;24/12/2010;2
299;Finished;17/05/2011;5
300;Finished;11/01/2012;1
301;Finished;03/10/2011;39
302;Finished;05/03/2010;1
303;Finished;05/11/2011;48
304;Finished;05/01/2009;6
305;Finished;25/11/2010;28
306;Finished;08/04/2011;43
307;Finished;31/03/2010;44
308;Finished;10/03/2012;47
309;Finished;20/02/2009;41
310;Finished;01/10/2009;10
311;Finished;01/11/2012;44
312;Finished;21/07/2011;10
313;Finished;23/11/2010;20
314;Finished;06/02/2010;21
315;Finished;04/01/2011;17
316;Finished;02/08/2009;31
317;Finished;05/06/2010;21
318;Finished;02/08/2009;1
319;Finished;28/12/2010;14
320;Finished;10/10/2012;7
321;Finished;02/04/2011;28
322;Finished;25/11/2009;50
323;Finished;11/04/2012;1
324;Finished;16/02/2010;13
325;Finished;24/09/2010;47
326;Finished;21/02/2009;39
327;Returned;11/11/2012;32
328;Finished;27/10/2011;26
329;Finished;16/12/2009;29
330;Finished;07/05/2010;24
331;Finished;08/01/2011;36
332;Returned;09/07/2012;4
333;Finished;09/03/2009;42
334;Finished;30/12/2011;23
335;Returned;29/03/2009;18
336;Finished;13/02/2011;30
337;Returned;28/01/2011;10
338;Finished;08/09/2012;7
339;Finished;18/05/2009;42
340;Finished;29/07/2012;32
341;Finished;22/04/2012;20
342;Finished;16/07/2012;34
343;Returned;22/09/2012;45
344;Finished;20/05/2010;36
345;Finished;02/12/2009;42
346;Finished;01/06/2010;37
347;Finished;25/09/2010;38
348;Finished;19/11/2012;14
349;Finished;14/12/2010;12
350;Finished;25/10/2012;50
351;Finished;17/06/2010;18
352;Finished;29/06/2012;46
353;Finished;01/02/2009;17
354;Finished;25/08/2011;37
355;Finished;20/06/2009;42
356;Finished;03/05/2010;24
357;Finished;07/04/2009;36
358;Returned;02/09/2011;30
359;Finished;14/04/2011;36
360;Finished;13/02/2011;6
361;Returned;30/07/2011;40
362;Finished;10/08/2010;38
363;Finished;06/04/2009;50
364;Finished;26/10/2010;17
365;Finished;26/05/2012;39
366;Finished;10/09/2012;32
367;Finished;16/03/2011;31
368;Finished;18/06/2011;31
369;Finished;11/01/2011;6
370;Finished;05/03/2009;45
371;Finished;14/12/2009;46
372;Finished;02/02/2009;38
373;Finished;26/08/2009;26
374;Finished;06/03/2012;42
375;Finished;19/11/2009;17
376;Finished;24/07/2010;48
377;Finished;04/08/2010;9
378;Finished;07/03/2011;44
379;Finished;20/10/2011;17
380;Finished;04/08/2009;43
381;Finished;28/04/2010;30
382;Finished;22/04/2009;29
383;Finished;04/12/2011;44
384;Finished;06/08/2010;27
385;Finished;15/09/2011;18
386;Finished;02/10/2009;27
387;Finished;01/03/2009;8
388;Finished;24/06/2009;16
389;Finished;16/01/2011;29
390;Finished;20/01/2012;38
391;Finished;21/05/2010;5
392;Finished;15/03/2012;3
393;Finished;07/08/2011;34
394;Finished;21/05/2011;18
395;Returned;22/12/2010;10
396;Finished;03/07/2009;44
397;Returned;27/05/2009;50
398;Finished;22/08/2012;19
399;Finished;26/01/2011;15
400;Finished;03/12/2012;24
401;Finished;06/09/2010;20
402;Finished;29/03/2011;6
403;Finished;20/08/2010;16
404;Finished;02/12/2010;36
405;Finished;26/03/2011;12
406;Returned;19/12/2009;38
407;Finished;29/04/2011;45
408;Finished;24/10/2010;50
409;Finished;12/05/2010;9
410;Finished;11/04/2010;31
411;Finished;24/01/2009;30
412;Finished;17/11/2010;42
413;Finished;29/09/2010;28
414;Finished;03/08/2010;15
415;Finished;13/06/2011;44
416;Finished;05/05/2010;44
417;Finished;30/08/2010;1
418;Finished;30/10/2012;16
419;Finished;15/07/2009;40
420;Finished;07/08/2012;45
421;Finished;01/02/2009;37
422;Finished;07/07/2012;15
423;Finished;27/03/2009;41
424;Finished;23/09/2010;23
425;Finished;28/03/2011;1
426;Finished;01/07/2009;27
427;Finished;11/12/2010;28
428;Finished;16/09/2009;44
429;Finished;04/02/2011;49
430;Finished;11/09/2010;29
431;Finished;02/03/2010;10
432;Finished;15/09/2009;2
433;Finished;30/12/2010;13
434;Finished;25/07/2011;9
435;Finished;23/12/2009;38
436;Finished;31/10/2012;8
437;Finished;22/12/2009;31
438;Finished;14/04/2012;4
439;Finished;13/05/2011;42
440;Finished;07/12/2011;19
441;Finished;04/12/2010;18
442;Finished;24/11/2009;26
443;Finished;13/09/2011;32
444;Finished;03/12/2010;24
445;Finished;18/12/2011;36
446;Finished;09/08/2012;44
447;Finished;24/08/2010;31
448;Finished;22/05/2011;46
449;Finished;18/11/2012;43
450;Finished;28/06/2012;39
451;Finished;04/02/2009;50
452;Finished;25/12/2009;38
453;Finished;26/09/2011;47
454;Finished;22/09/2011;38
455;Finished;15/02/2009;23
456;Finished;11/10/2009;3
457;Finished;10/03/2011;30
458;Finished;11/08/2012;5
459;Returned;25/12/2009;8
460;Finished;29/06/2012;31
461;Finished;18/01/2009;47
462;Finished;20/05/2012;49
463;Finished;19/03/2009;11
464;Finished;05/09/2009;11
465;Returned;03/11/2009;7
466;Finished;26/03/2011;18
467;Finished;10/02/2012;20
468;Returned;06/05/2009;37
469;Returned;23/11/2010;43
470;Finished;10/02/2011;43
471;Finished;29/03/2010;34
472;Finished;05/09/2012;13
473;Finished;31/01/2011;21
474;Finished;07/08/2009;44
475;Finished;05/05/2012;32
476;Finished;10/11/2009;13
477;Finished;14/06/2010;14
478;Finished;07/01/2012;24
479;Finished;19/12/2010;15
480;Finished;29/11/2012;36
481;Finished;18/04/2009;36
482;Finished;24/09/2009;22
483;Finished;11/03/2011;16
484;Finished;13/12/2010;13
485;Returned;21/01/2012;48
486;Finished;06/01/2012;46
487;Finished;10/12/2009;42
488;Finished;12/02/2010;17
489;Finished;26/06/2009;10
490;Finished;08/02/2011;50
491;Finished;20/02/2011;42
492;Finished;10/09/2012;37
493;Finished;12/02/2010;23
494;Finished;01/02/2010;31
495;Finished;26/09/2011;48
496;Finished;12/08/2010;37
497;Finished;20/08/2010;3
498;Finished;17/05/2012;24
499;Finished;09/07/2010;34
500;Finished;22/10/2011;30
501;Finished;15/07/2010;35
502;Finished;04/03/2011;29
503;Finished;05/01/2009;6
504;Finished;12/05/2009;4
505;Finished;22/02/2010;49
506;Finished;23/06/2011;28
507;Finished;20/03/2009;9
508;Finished;22/01/2011;34
509;Finished;28/07/2011;40
510;Finished;03/04/2010;8
511;Finished;21/11/2010;40
512;Finished;11/09/2010;25
513;Finished;31/08/2011;48
514;Finished;07/06/2009;13
515;Finished;22/03/2009;17
516;Finished;30/09/2010;38
517;Finished;15/09/2010;10
518;Finished;10/01/2010;32
519;Finished;26/06/2010;27
520;Finished;23/07/2011;14
521;Finished;10/10/2010;43
522;Finished;05/02/2009;48
523;Finished;09/11/2011;4
524;Finished;26/07/2009;26
525;Finished;18/04/2009;28
526;Finished;24/02/2012;40
527;Finished;28/07/2012;46
528;Finished;14/12/2011;2
529;Finished;13/06/2010;20
530;Finished;01/10/2010;22
531;Finished;27/04/2012;34
532;Finished;24/09/2011;18
533;Finished;30/06/2012;18
534;Finished;10/11/2011;37
535;Finished;05/11/2009;20
536;Finished;19/02/2009;37
537;Finished;02/03/2010;29
538;Finished;28/06/2009;46
539;Finished;26/01/2009;30
540;Finished;02/08/2011;23
541;Finished;04/07/2010;6
542;Finished;01/10/2012;17
543;Finished;14/07/2011;7
544;Finished;25/07/2010;23
545;Finished;06/07/2009;4
546;Finished;11/12/2012;29
547;Finished;01/12/2011;33
548;Finished;04/04/2009;49
549;Finished;25/06/2010;2
550;Finished;16/02/2011;37
551;Finished;26/08/2010;23
552;Finished;04/11/2010;23
553;Finished;28/04/2009;30
554;Finished;06/08/2009;9
555;Finished;18/03/2009;32
556;Finished;05/01/2009;5
557;Finished;08/10/2012;4
558;Finished;05/11/2010;29
559;Finished;10/12/2012;14
560;Finished;05/02/2009;23
561;Finished;28/09/2011;34
562;Finished;05/06/2012;43
563;Finished;26/09/2010;46
564;Finished;21/01/2009;46
565;Finished;05/10/2012;14
566;Finished;25/03/2009;20
567;Finished;20/09/2012;19
568;Finished;05/02/2010;39
569;Finished;19/03/2010;46
570;Finished;19/11/2011;39
571;Finished;29/04/2009;49
572;Finished;03/04/2011;47
573;Finished;16/04/2011;7
574;Finished;15/06/2010;37
575;Finished;09/08/2009;3
576;Finished;20/09/2009;48
577;Returned;20/03/2012;16
578;Finished;23/03/2012;45
579;Finished;19/07/2010;47
580;Finished;21/11/2012;28
581;Finished;27/03/2009;25
582;Finished;14/05/2010;17
583;Finished;17/10/2010;48
584;Returned;24/08/2010;26
585;Returned;10/08/2011;19
586;Finished;24/09/2009;10
587;Returned;30/10/2012;35
588;Finished;07/05/2010;17
589;Finished;09/04/2011;36
590;Finished;03/06/2010;46
591;Returned;22/05/2010;45
592;Finished;25/10/2012;35
593;Finished;05/01/2010;34
594;Finished;30/12/2011;40
595;Returned;14/02/2011;17
596;Finished;28/05/2010;3
597;Finished;28/06/2010;47
598;Returned;01/03/2011;21
599;Finished;27/02/2012;26
600;Finished;19/03/2012;24
601;Finished;04/03/2012;7
602;Finished;09/03/2012;35
603;Finished;05/01/2010;6
604;Finished;21/04/2012;24
605;Finished;17/06/2009;25
606;Finished;13/06/2012;41
607;Finished;16/07/2012;50
608;Finished;15/05/2009;46
609;Finished;02/01/2011;16
610;Finished;05/01/2012;13
611;Finished;23/01/2009;18
612;Returned;24/12/2011;20
613;Returned;20/11/2012;26
614;Finished;29/12/2012;27
615;Finished;31/01/2010;7
616;Finished;04/02/2009;47
617;Finished;24/12/2011;9
618;Finished;27/02/2010;2
619;Finished;25/06/2012;17
620;Finished;13/03/2012;10
621;Finished;28/12/2010;34
622;Finished;03/07/2012;13
623;Finished;05/04/2012;47
624;Finished;24/07/2009;20
625;Finished;18/07/2011;3
626;Finished;15/04/2010;5
627;Finished;15/06/2010;1
628;Finished;15/03/2011;36
629;Finished;06/12/2009;3
630;Finished;22/07/2010;7
631;Finished;08/10/2011;17
632;Finished;07/09/2010;44
633;Finished;22/01/2012;40
634;Finished;05/04/2012;30
635;Finished;12/12/2009;41
636;Finished;23/03/2012;33
637;Finished;13/09/2011;45
638;Finished;05/09/2012;16
639;Finished;21/08/2010;30
640;Finished;26/10/2012;42
641;Finished;06/10/2010;42
642;Finished;13/03/2010;8
643;Finished;25/05/2011;45
644;Finished;09/05/2011;16
645;Finished;18/01/2010;7
646;Finished;12/12/2009;16
647;Finished;22/01/2010;24
648;Finished;09/12/2012;50
649;Finished;28/08/2009;25
650;Finished;04/11/2012;23
651;Finished;20/07/2010;26
652;Returned;15/11/2011;39
653;Finished;22/03/2009;16
654;Finished;06/08/2009;45
655;Finished;23/03/2012;35
656;Finished;13/04/2011;22
657;Returned;06/09/2011;8
658;Finished;23/05/2012;50
659;Finished;04/03/2012;12
660;Finished;03/11/2009;11
661;Finished;12/08/2009;5
662;Finished;07/07/2010;25
663;Finished;05/11/2010;28
664;Finished;05/05/2012;32
665;Finished;23/06/2010;22
666;Finished;28/07/2012;31
667;Returned;07/03/2009;20
668;Finished;24/01/2011;45
669;Finished;15/08/2009;42
670;Finished;02/10/2009;43
671;Finished;01/01/2012;45
672;Returned;27/11/2009;29
673;Finished;04/08/2010;41
674;Finished;08/11/2010;14
675;Finished;04/12/2012;36
676;Finished;10/03/2011;2
677;Finished;16/07/2009;22
678;Finished;22/02/2009;27
679;Finished;21/09/2012;22
680;Finished;10/11/2012;6
681;Finished;12/04/2010;17
682;Finished;25/08/2011;2
683;Finished;20/11/2010;34
684;Finished;15/06/2010;25
685;Finished;14/04/2012;19
686;Finished;18/03/2012;20
687;Finished;05/05/2009;33
688;Finished;18/04/2012;1
689;Finished;09/01/2011;3
690;Finished;06/03/2009;10
691;Finished;07/06/2010;36
692;Finished;16/01/2012;29
693;Returned;02/02/2010;25
694;Finished;18/08/2012;36
695;Finished;06/10/2012;16
696;Finished;24/03/2011;45
697;Returned;02/10/2012;22
698;Finished;14/08/2012;8
699;Finished;26/02/2011;9
700;Returned;10/11/2012;16
701;Finished;13/09/2012;30
702;Finished;10/05/2012;45
703;Finished;25/12/2010;34
704;Finished;24/03/2012;42
705;Finished;20/05/2009;15
706;Finished;21/06/2009;24
707;Finished;07/08/2011;29
708;Finished;26/03/2010;22
709;Finished;15/12/2012;47
710;Finished;07/12/2009;7
711;Finished;09/12/2009;32
712;Finished;21/12/2010;33
713;Finished;10/08/2012;32
714;Finished;12/11/2010;3
715;Finished;05/05/2012;12
716;Finished;21/07/2010;20
717;Finished;04/05/2012;35
718;Finished;24/08/2010;35
719;Finished;10/03/2011;23
720;Finished;12/11/2011;9
721;Finished;22/03/2012;29
722;Finished;16/11/2009;6
723;Finished;05/09/2009;28
724;Finished;19/07/2012;17
725;Finished;20/08/2012;19
726;Finished;23/08/2010;45
727;Finished;25/12/2012;36
728;Finished;16/06/2011;5
729;Finished;23/06/2010;39
730;Finished;29/10/2010;9
731;Finished;15/07/2009;24
732;Finished;26/04/2009;34
733;Finished;04/09/2011;49
734;Returned;24/09/2012;30
735;Returned;11/10/2011;46
736;Finished;17/02/2012;24
737;Finished;18/06/2009;11
738;Finished;26/05/2011;44
739;Finished;20/09/2010;44
740;Finished;28/05/2011;6
741;Finished;28/07/2012;49
742;Finished;05/05/2012;16
743;Finished;17/06/2010;4
744;Finished;19/07/2010;40
745;Finished;04/07/2011;20
746;Finished;12/06/2012;27
747;Finished;13/04/2012;9
748;Finished;25/10/2012;34
749;Finished;01/08/2009;50
750;Finished;11/04/2012;32
751;Finished;20/09/2011;2
752;Finished;13/11/2012;19
753;Finished;16/06/2012;6
754;Finished;26/02/2010;42
755;Returned;11/08/2009;31
756;Finished;22/11/2012;22
757;Finished;21/07/2012;39
758;Finished;10/04/2009;5
759;Finished;18/11/2011;19
760;Finished;14/01/2010;34
761;Finished;24/02/2011;30
762;Finished;13/02/2009;42
763;Finished;15/06/2010;15
764;Finished;29/10/2011;36
765;Finished;22/10/2010;11
766;Finished;08/04/2011;20
767;Finished;09/07/2012;37
768;Finished;23/06/2012;25
769;Finished;16/07/2010;45
770;Finished;26/07/2009;32
771;Finished;23/08/2009;24
772;Finished;01/08/2011;36
773;Finished;29/05/2012;14
774;Finished;06/05/2010;5
775;Finished;18/10/2009;24
776;Finished;15/07/2010;25
777;Returned;12/07/2009;1
778;Finished;10/05/2012;25
779;Finished;24/07/2011;44
780;Finished;30/08/2012;13
781;Finished;19/11/2011;40
782;Finished;16/09/2009;8
783;Finished;15/09/2011;47
784;Finished;22/01/2009;9
785;Finished;03/11/2009;22
786;Finished;28/05/2011;44
787;Finished;11/06/2012;23
788;Finished;20/01/2010;8
789;Finished;02/05/2010;44
790;Finished;11/07/2012;22
791;Finished;03/07/2011;40
792;Finished;17/06/2012;37
793;Finished;12/12/2010;8
794;Finished;26/04/2012;21
795;Finished;05/08/2009;40
796;Finished;06/09/2010;34
797;Finished;15/09/2012;29
798;Finished;27/07/2011;13
799;Returned;25/06/2009;27
800;Finished;27/08/2009;16
801;Returned;10/01/2011;13
802;Finished;31/03/2012;21
803;Finished;22/04/2011;44
804;Finished;28/08/2009;33
805;Finished;05/08/2009;42
806;Finished;05/09/2012;26
807;Finished;09/10/2011;9
808;Finished;22/08/2010;44
809;Finished;04/08/2012;42
810;Finished;14/12/2010;7
811;Finished;24/12/2009;11
812;Finished;12/10/2010;45
813;Finished;15/01/2009;48
814;Finished;05/04/2011;12
815;Finished;20/01/2012;28
816;Finished;24/09/2011;7
817;Finished;09/10/2011;4
818;Finished;04/05/2011;8
819;Returned;09/10/2011;10
820;Finished;10/04/2010;8
821;Finished;19/08/2012;29
822;Finished;01/07/2012;20
823;Finished;20/11/2009;29
824;Finished;16/09/2012;40
825;Finished;17/09/2009;47
826;Finished;21/07/2010;16
827;Finished;09/11/2010;29
828;Finished;10/01/2011;8
829;Finished;24/12/2010;16
830;Finished;30/05/2012;49
831;Finished;12/02/2009;31
832;Returned;04/09/2009;25
833;Finished;26/08/2010;5
834;Finished;21/07/2009;40
835;Finished;12/09/2011;27
836;Returned;18/03/2009;23
837;Returned;27/01/2010;1
838;Finished;11/09/2011;4
839;Finished;03/02/2011;35
840;Finished;15/02/2011;44
841;Finished;01/03/2012;36
842;Finished;10/08/2009;19
843;Finished;13/12/2010;23
844;Finished;15/10/2009;19
845;Finished;07/10/2009;36
846;Finished;17/09/2010;48
847;Finished;03/07/2009;34
848;Finished;09/10/2010;32
849;Finished;23/09/2009;16
850;Finished;02/10/2011;24
851;Finished;19/01/2011;15
852;Finished;22/01/2011;4
853;Finished;23/03/2009;36
854;Finished;07/01/2011;27
855;Finished;22/06/2011;15
856;Finished;03/08/2011;42
857;Finished;07/11/2011;18
858;Finished;26/08/2010;44
859;Finished;17/03/2010;32
860;Finished;07/07/2009;47
861;Finished;27/03/2009;36
862;Finished;17/02/2010;11
863;Finished;01/02/2011;21
864;Finished;17/03/2012;11
865;Finished;10/01/2009;31
866;Finished;16/04/2010;24
867;Finished;07/03/2010;20
868;Finished;16/10/2012;33
869;Returned;11/09/2009;36
870;Finished;12/10/2010;22
871;Finished;19/06/2011;44
872;Finished;07/11/2012;6
873;Finished;12/11/2011;38
874;Finished;06/05/2011;29
875;Finished;08/09/2011;29
876;Finished;21/03/2011;29
877;Finished;11/05/2010;23
878;Finished;06/02/2012;13
879;Finished;28/12/2010;43
880;Finished;08/09/2011;42
881;Returned;31/05/2012;27
882;Finished;12/09/2009;34
883;Finished;17/06/2012;48
884;Finished;29/12/2010;40
885;Finished;30/04/2011;7
886;Finished;03/05/2010;3
887;Finished;22/08/2012;49
888;Finished;03/07/2011;7
889;Finished;22/02/2010;50
890;Finished;30/11/2011;40
891;Returned;13/08/2010;4
892;Finished;29/10/2011;3
893;Returned;28/11/2009;46
894;Finished;02/08/2011;34
895;Finished;03/11/2012;42
896;Finished;21/07/2011;36
897;Finished;12/10/2010;47
898;Finished;10/05/2012;8
899;Finished;11/02/2012;5
900;Finished;22/03/2009;5
901;Finished;22/10/2011;5
902;Finished;04/11/2009;20
903;Finished;02/01/2009;3
904;Finished;28/10/2012;47
905;Finished;03/04/2011;24
906;Returned;05/10/2009;27
907;Finished;30/01/2012;43
908;Finished;12/02/2012;27
909;Finished;19/01/2012;16
910;Finished;25/06/2009;1
911;Finished;28/05/2011;45
912;Returned;04/08/2009;34
913;Returned;17/08/2010;37
914;Finished;22/01/2009;32
915;Finished;07/03/2011;12
916;Finished;31/01/2010;34
917;Returned;08/03/2010;37
918;Finished;04/11/2010;36
919;Finished;25/09/2009;1
920;Finished;13/02/2009;45
921;Finished;19/08/2011;5
922;Finished;12/03/2011;42
923;Finished;28/03/2012;27
924;Finished;25/09/2009;8
925;Finished;12/08/2012;20
926;Finished;31/01/2012;24
927;Finished;27/02/2010;35
928;Finished;28/06/2010;7
929;Finished;19/05/2012;32
