purchased_id;payment_method;shipping_type;promo_code ;Frequency of Purchases;purchase_amount;customer_id;brand_id
1160;Debit Card;Standard;Yes;Weekly;79;60;159
1161;Credit Card;Express;Yes;Weekly;37;61;160
1162;Bank Transfer;Store Pickup;Yes;Every Three Months;68;62;161
1163;Credit Card;Free Shipping;Yes;Fortnightly;21;63;162
1164;Credit Card;Two Day;Yes;Weekly;79;64;163
1165;PayPal;Standard;Yes;Fortnightly;83;65;164
1166;Credit Card;Two Day;Yes;Every Three Months;36;66;165
1167;Bank Transfer;Two Day;Yes;Every Three Months;94;67;166
1168;PayPal;Store Pickup;Yes;Monthly;33;68;167
1169;Credit Card;Next Day;Yes;Every Three Months;46;69;168
1170;Credit Card;Express;Yes;Weekly;70;70;169
1171;Credit Card;Express;Yes;Every Three Months;29;71;170
1172;Debit Card;Express;Yes;Annually;48;72;171
1173;Debit Card;Store Pickup;Yes;Every Three Months;26;73;172
1174;Debit Card;Free Shipping;Yes;Bi Weekly;85;74;173
1175;PayPal;Express;Yes;Monthly;58;75;174
1176;Debit Card;Free Shipping;Yes;Annually;85;76;175
1177;Bank Transfer;Free Shipping;Yes;Monthly;43;77;176
1178;Debit Card;Next Day;Yes;Fortnightly;53;78;177
1179;Venmo;Free Shipping;Yes;Fortnightly;91;79;178
1180;Bank Transfer;Two Day;Yes;Every Three Months;96;80;179
1181;Credit Card;Store Pickup;Yes;Every Three Months;72;81;180
1182;PayPal;Express;Yes;Every Three Months;96;82;181
1183;Bank Transfer;Two Day;Yes;Every Three Months;28;83;182
1184;Debit Card;Standard;Yes;Weekly;40;84;183
1185;Cash;Standard;Yes;Every Three Months;32;85;184
1186;Credit Card;Next Day;Yes;Bi Weekly;95;86;185
1187;Venmo;Two Day;Yes;Bi Weekly;41;87;186
1188;Debit Card;Two Day;Yes;Fortnightly;53;88;187
1189;Credit Card;Free Shipping;Yes;Monthly;47;89;188
1190;Bank Transfer;Next Day;Yes;Quarterly;83;90;189
1191;Venmo;Express;Yes;Monthly;48;91;190
1192;PayPal;Standard;Yes;Every Three Months;99;92;191
1193;Cash;Two Day;Yes;Every Three Months;87;93;192
1194;PayPal;Standard;Yes;Weekly;62;94;193
1195;Bank Transfer;Free Shipping;Yes;Weekly;76;95;194
1196;PayPal;Free Shipping;Yes;Monthly;100;96;195
1197;Venmo;Express;Yes;Every Three Months;73;97;196
1198;PayPal;Store Pickup;Yes;Annually;92;98;197
1199;Cash;Next Day;Yes;Annually;67;99;198
1200;Cash;Express;Yes;Quarterly;40;100;199
1201;PayPal;Express;Yes;Fortnightly;98;101;200
1202;Venmo;Express;Yes;Bi Weekly;85;102;201
1203;Credit Card;Next Day;Yes;Quarterly;67;103;202
1204;Debit Card;Next Day;Yes;Bi Weekly;89;104;203
1205;Bank Transfer;Two Day;Yes;Monthly;24;105;204
1206;Bank Transfer;Next Day;Yes;Annually;96;106;205
1207;Cash;Standard;Yes;Monthly;35;107;206
1208;Cash;Next Day;Yes;Fortnightly;67;108;207
1209;Bank Transfer;Next Day;Yes;Bi Weekly;79;109;208
1210;Cash;Next Day;Yes;Fortnightly;85;110;209
1211;Bank Transfer;Standard;Yes;Fortnightly;26;111;210
1212;PayPal;Free Shipping;Yes;Annually;75;112;211
1213;Credit Card;Free Shipping;Yes;Bi Weekly;65;113;212
1214;Debit Card;Next Day;Yes;Quarterly;54;114;213
1215;Venmo;Store Pickup;Yes;Weekly;95;115;214
1216;Cash;Standard;Yes;Every Three Months;94;116;215
1217;PayPal;Free Shipping;Yes;Annually;86;117;216
1218;Bank Transfer;Express;Yes;Fortnightly;32;118;217
1219;Bank Transfer;Two Day;Yes;Bi Weekly;45;119;218
1220;Debit Card;Express;Yes;Annually;76;120;219
1221;PayPal;Express;Yes;Annually;84;121;220
1222;Cash;Standard;Yes;Fortnightly;72;122;221
1223;Credit Card;Two Day;Yes;Fortnightly;40;123;222
1224;Debit Card;Free Shipping;Yes;Weekly;89;124;223
1225;PayPal;Next Day;Yes;Annually;86;125;224
1226;Cash;Next Day;Yes;Every Three Months;54;126;225
1227;Bank Transfer;Store Pickup;Yes;Every Three Months;36;127;226
1228;Venmo;Next Day;Yes;Weekly;89;128;227
1229;Venmo;Standard;Yes;Fortnightly;32;129;228
1230;Cash;Two Day;Yes;Bi Weekly;67;130;229
1231;Credit Card;Next Day;Yes;Fortnightly;39;131;230
1232;PayPal;Standard;Yes;Weekly;29;132;231
1233;Bank Transfer;Two Day;Yes;Weekly;58;133;232
1234;Bank Transfer;Next Day;Yes;Annually;65;134;233
1235;Credit Card;Store Pickup;Yes;Monthly;94;135;234
1236;PayPal;Express;Yes;Quarterly;81;136;235
1237;Credit Card;Free Shipping;Yes;Quarterly;86;137;236
1238;Cash;Free Shipping;Yes;Weekly;43;138;237
1239;Cash;Store Pickup;Yes;Weekly;29;139;238
1240;Debit Card;Store Pickup;Yes;Annually;95;140;239
1241;Bank Transfer;Two Day;Yes;Weekly;28;141;240
1242;PayPal;Free Shipping;Yes;Weekly;46;142;241
1243;PayPal;Free Shipping;Yes;Fortnightly;58;143;242
1244;Bank Transfer;Store Pickup;Yes;Quarterly;48;144;243
1245;Credit Card;Express;Yes;Monthly;43;145;244
1246;Venmo;Standard;Yes;Quarterly;95;146;245
1247;Debit Card;Standard;Yes;Fortnightly;30;147;246
1248;Bank Transfer;Two Day;Yes;Fortnightly;64;148;247
1249;PayPal;Store Pickup;Yes;Annually;90;149;248
1250;Venmo;Free Shipping;Yes;Monthly;76;150;249
1251;Bank Transfer;Standard;Yes;Every Three Months;96;151;250
1252;Debit Card;Next Day;Yes;Annually;47;152;251
1253;PayPal;Express;Yes;Annually;85;153;252
1254;Debit Card;Standard;Yes;Annually;55;154;253
1255;Debit Card;Next Day;Yes;Quarterly;98;155;254
1256;Cash;Free Shipping;Yes;Quarterly;77;156;255
1257;Venmo;Standard;Yes;Annually;26;157;256
1258;Debit Card;Next Day;Yes;Fortnightly;68;158;257
1259;Bank Transfer;Standard;Yes;Monthly;73;159;258
1260;Debit Card;Store Pickup;Yes;Every Three Months;27;160;259
1261;Bank Transfer;Free Shipping;Yes;Monthly;23;161;260
1262;Venmo;Express;Yes;Fortnightly;49;162;261
1263;Credit Card;Store Pickup;Yes;Bi Weekly;74;163;262
1264;PayPal;Standard;Yes;Weekly;67;164;263
1265;Debit Card;Free Shipping;Yes;Fortnightly;65;165;264
1266;Credit Card;Store Pickup;Yes;Monthly;60;166;265
1267;Cash;Store Pickup;Yes;Monthly;31;167;266
1268;Venmo;Express;Yes;Every Three Months;27;168;267
1269;Bank Transfer;Express;Yes;Fortnightly;80;169;268
1270;Credit Card;Standard;Yes;Every Three Months;30;170;269
1271;Venmo;Store Pickup;Yes;Bi Weekly;25;171;270
1272;Debit Card;Store Pickup;Yes;Weekly;35;172;271
1273;Bank Transfer;Next Day;Yes;Bi Weekly;67;173;272
1274;PayPal;Standard;Yes;Annually;46;174;273
1275;Venmo;Express;Yes;Annually;35;175;274
1276;Debit Card;Next Day;Yes;Annually;86;176;275
1277;Bank Transfer;Next Day;Yes;Quarterly;81;177;276
1278;Debit Card;Next Day;Yes;Monthly;42;178;277
1279;Debit Card;Two Day;Yes;Quarterly;43;179;278
1280;Debit Card;Store Pickup;Yes;Fortnightly;31;180;279
1281;Cash;Store Pickup;Yes;Fortnightly;81;181;280
1282;Venmo;Next Day;Yes;Weekly;61;182;281
1283;Venmo;Store Pickup;Yes;Annually;96;183;282
1284;Bank Transfer;Two Day;Yes;Weekly;29;184;283
1285;Cash;Express;Yes;Fortnightly;33;185;284
1286;Bank Transfer;Store Pickup;Yes;Fortnightly;32;186;285
1287;Debit Card;Standard;Yes;Annually;56;187;286
1288;Credit Card;Store Pickup;Yes;Bi Weekly;94;188;287
1289;Credit Card;Express;Yes;Bi Weekly;53;189;288
1290;Venmo;Next Day;Yes;Weekly;82;190;289
1291;Venmo;Free Shipping;Yes;Quarterly;70;191;290
1292;Credit Card;Free Shipping;Yes;Every Three Months;76;192;291
1293;Venmo;Express;Yes;Bi Weekly;29;193;292
1294;PayPal;Standard;Yes;Annually;100;194;293
1295;Venmo;Express;Yes;Quarterly;94;195;294
1296;Credit Card;Free Shipping;Yes;Monthly;25;196;295
1297;Cash;Next Day;Yes;Fortnightly;88;197;296
1298;Debit Card;Two Day;Yes;Monthly;78;198;297
1299;Cash;Standard;Yes;Fortnightly;45;199;298
1300;Debit Card;Express;Yes;Weekly;73;200;299
1301;PayPal;Next Day;Yes;Monthly;61;201;300
1302;Bank Transfer;Free Shipping;Yes;Annually;22;202;301
1303;Bank Transfer;Express;Yes;Annually;38;203;302
1304;PayPal;Next Day;Yes;Weekly;38;204;303
1305;PayPal;Store Pickup;Yes;Bi Weekly;100;205;304
1306;Bank Transfer;Standard;Yes;Weekly;64;206;305
1307;Venmo;Free Shipping;Yes;Fortnightly;55;207;306
1308;Venmo;Express;Yes;Bi Weekly;91;208;307
1309;Cash;Store Pickup;Yes;Monthly;38;209;308
1310;Bank Transfer;Store Pickup;Yes;Every Three Months;97;210;309
1311;Venmo;Two Day;Yes;Fortnightly;22;211;310
1312;Venmo;Two Day;Yes;Fortnightly;92;212;311
1313;Venmo;Express;Yes;Annually;84;213;312
1314;Cash;Store Pickup;Yes;Every Three Months;93;214;313
1315;Cash;Next Day;Yes;Every Three Months;50;215;314
1316;Bank Transfer;Two Day;Yes;Bi Weekly;64;216;315
1317;Cash;Free Shipping;Yes;Weekly;61;217;316
1318;Venmo;Next Day;Yes;Annually;48;218;317
1319;Credit Card;Store Pickup;Yes;Quarterly;45;219;318
1320;Venmo;Free Shipping;Yes;Fortnightly;88;220;319
1321;Debit Card;Express;Yes;Fortnightly;57;221;320
1322;Debit Card;Store Pickup;Yes;Quarterly;68;222;321
1323;Venmo;Two Day;Yes;Fortnightly;94;223;322
1324;Venmo;Free Shipping;Yes;Annually;41;224;323
1325;PayPal;Free Shipping;Yes;Every Three Months;83;225;324
1326;Debit Card;Next Day;Yes;Annually;22;226;325
1327;Cash;Free Shipping;Yes;Monthly;74;227;326
1328;Venmo;Standard;Yes;Fortnightly;90;228;327
1329;Credit Card;Store Pickup;Yes;Annually;79;229;328
1330;Cash;Next Day;Yes;Every Three Months;28;230;329
1331;Venmo;Standard;Yes;Annually;88;231;330
1332;Bank Transfer;Two Day;Yes;Every Three Months;26;232;331
1333;Bank Transfer;Express;Yes;Bi Weekly;27;233;332
1334;PayPal;Next Day;Yes;Every Three Months;83;234;333
1335;PayPal;Next Day;Yes;Weekly;39;235;334
1336;Cash;Free Shipping;Yes;Quarterly;89;236;335
1337;Debit Card;Next Day;Yes;Fortnightly;68;237;336
1338;Venmo;Store Pickup;Yes;Fortnightly;90;238;337
1339;Debit Card;Free Shipping;Yes;Annually;34;239;338
1340;PayPal;Express;Yes;Bi Weekly;51;240;339
1341;Credit Card;Free Shipping;Yes;Fortnightly;45;241;340
1342;PayPal;Free Shipping;Yes;Bi Weekly;88;242;341
1343;Credit Card;Store Pickup;Yes;Every Three Months;85;243;342
1344;Credit Card;Two Day;Yes;Monthly;100;244;343
1345;Debit Card;Two Day;Yes;Weekly;42;245;344
1346;Cash;Next Day;Yes;Fortnightly;53;246;345
1347;Credit Card;Express;Yes;Bi Weekly;86;247;346
1348;Credit Card;Standard;Yes;Weekly;66;248;347
1349;Venmo;Express;Yes;Weekly;100;249;348
1350;Cash;Standard;Yes;Annually;47;250;349
1351;Debit Card;Express;Yes;Weekly;25;251;350
1352;PayPal;Standard;Yes;Annually;51;252;351
1353;Cash;Free Shipping;Yes;Fortnightly;41;253;352
1354;PayPal;Two Day;Yes;Bi Weekly;73;254;353
1355;Credit Card;Store Pickup;Yes;Bi Weekly;42;255;354
1356;Debit Card;Free Shipping;Yes;Annually;20;256;355
1357;Venmo;Express;Yes;Every Three Months;30;257;356
1358;PayPal;Express;Yes;Quarterly;53;258;357
1359;Venmo;Express;Yes;Quarterly;74;259;358
1360;Credit Card;Standard;Yes;Annually;57;260;359
1361;Bank Transfer;Two Day;Yes;Every Three Months;57;261;360
1362;Cash;Standard;Yes;Annually;77;262;361
1363;Cash;Next Day;Yes;Annually;40;263;362
1364;Credit Card;Store Pickup;Yes;Monthly;46;264;363
1365;Venmo;Store Pickup;Yes;Annually;78;265;364
1366;Venmo;Two Day;Yes;Bi Weekly;59;266;365
1367;Cash;Express;Yes;Weekly;75;267;366
1368;Venmo;Two Day;Yes;Annually;54;268;367
1369;Venmo;Store Pickup;Yes;Monthly;42;269;368
1370;PayPal;Next Day;Yes;Bi Weekly;44;270;369
1371;Debit Card;Free Shipping;Yes;Annually;52;271;370
1372;Credit Card;Express;Yes;Fortnightly;69;272;371
1373;PayPal;Two Day;Yes;Bi Weekly;26;273;372
1374;Cash;Express;Yes;Quarterly;33;274;373
1375;Credit Card;Express;Yes;Bi Weekly;32;275;374
1376;Debit Card;Express;Yes;Weekly;85;276;375
1377;Debit Card;Express;Yes;Fortnightly;30;277;376
1378;Credit Card;Store Pickup;Yes;Bi Weekly;29;278;377
1379;Bank Transfer;Express;Yes;Annually;95;279;378
1380;Credit Card;Standard;Yes;Monthly;69;280;379
1381;Debit Card;Two Day;Yes;Bi Weekly;69;281;380
1382;Bank Transfer;Standard;Yes;Bi Weekly;61;282;381
1383;Debit Card;Two Day;Yes;Monthly;94;283;382
1384;Debit Card;Next Day;Yes;Annually;30;284;383
1385;PayPal;Standard;Yes;Quarterly;45;285;384
1386;Credit Card;Express;Yes;Bi Weekly;39;286;385
1387;Cash;Store Pickup;Yes;Annually;51;287;386
1388;Cash;Two Day;Yes;Fortnightly;37;288;387
1389;Credit Card;Two Day;Yes;Bi Weekly;62;289;388
1390;Debit Card;Two Day;Yes;Monthly;85;290;389
1391;Bank Transfer;Standard;Yes;Weekly;33;291;390
1392;Credit Card;Next Day;Yes;Monthly;26;292;391
1393;Credit Card;Free Shipping;Yes;Quarterly;99;293;392
1394;PayPal;Express;Yes;Annually;39;294;393
1395;Cash;Store Pickup;Yes;Every Three Months;20;295;394
1396;Venmo;Store Pickup;Yes;Quarterly;42;296;395
1397;PayPal;Two Day;Yes;Weekly;74;297;396
1398;Bank Transfer;Standard;Yes;Bi Weekly;26;298;397
1399;Cash;Standard;Yes;Every Three Months;53;299;398
1400;Credit Card;Next Day;Yes;Fortnightly;80;300;399
1401;Cash;Store Pickup;Yes;Weekly;98;301;400
1402;Debit Card;Standard;Yes;Every Three Months;95;302;401
1403;Venmo;Express;Yes;Every Three Months;44;303;402
1404;Cash;Next Day;Yes;Weekly;60;304;403
1405;Venmo;Next Day;Yes;Bi Weekly;84;305;404
1406;Debit Card;Two Day;Yes;Annually;59;306;405
1407;Debit Card;Express;Yes;Annually;49;307;406
1408;Cash;Free Shipping;Yes;Every Three Months;32;308;407
1409;Bank Transfer;Standard;Yes;Bi Weekly;29;309;408
1410;Bank Transfer;Standard;Yes;Fortnightly;22;310;409
1411;Debit Card;Standard;Yes;Fortnightly;85;311;410
1412;Debit Card;Store Pickup;Yes;Monthly;52;312;411
1413;Bank Transfer;Next Day;Yes;Annually;89;313;412
1414;PayPal;Express;Yes;Every Three Months;77;314;413
1415;PayPal;Store Pickup;Yes;Every Three Months;24;315;414
1416;Venmo;Express;Yes;Annually;24;316;415
1417;Bank Transfer;Free Shipping;Yes;Monthly;22;317;416
1418;Bank Transfer;Standard;Yes;Every Three Months;82;318;417
1419;PayPal;Standard;Yes;Annually;67;319;418
1420;Venmo;Standard;Yes;Every Three Months;74;320;419
1421;PayPal;Standard;Yes;Quarterly;72;321;420
1422;Credit Card;Free Shipping;Yes;Quarterly;36;322;421
1423;Credit Card;Standard;Yes;Monthly;95;323;422
1424;Venmo;Next Day;Yes;Bi Weekly;78;324;423
1425;Credit Card;Standard;Yes;Quarterly;82;325;424
1426;Debit Card;Free Shipping;Yes;Annually;70;326;425
1427;Cash;Store Pickup;Yes;Weekly;41;327;426
1428;PayPal;Free Shipping;Yes;Weekly;42;328;427
1429;Debit Card;Free Shipping;Yes;Weekly;50;329;428
1430;Debit Card;Two Day;Yes;Monthly;31;330;429
1431;Bank Transfer;Express;Yes;Bi Weekly;51;331;430
1432;Credit Card;Store Pickup;Yes;Quarterly;98;332;431
1433;Cash;Two Day;Yes;Monthly;86;333;432
1434;Cash;Standard;Yes;Bi Weekly;64;334;433
1435;PayPal;Next Day;Yes;Annually;46;335;434
1436;Cash;Standard;Yes;Every Three Months;85;336;435
1437;Debit Card;Express;Yes;Annually;81;337;436
1438;Cash;Two Day;Yes;Annually;59;338;437
1439;Venmo;Express;Yes;Weekly;79;339;438
1440;Credit Card;Two Day;Yes;Every Three Months;33;340;439
1441;Cash;Express;Yes;Every Three Months;47;341;440
1442;Credit Card;Store Pickup;Yes;Bi Weekly;20;342;441
1443;Bank Transfer;Next Day;Yes;Every Three Months;36;343;442
1444;Cash;Next Day;Yes;Monthly;39;344;443
1445;PayPal;Standard;Yes;Monthly;71;345;444
1446;Cash;Next Day;Yes;Annually;59;346;445
1447;Credit Card;Next Day;Yes;Weekly;50;347;446
1448;Credit Card;Store Pickup;Yes;Fortnightly;41;348;447
1449;Bank Transfer;Free Shipping;Yes;Fortnightly;59;349;448
1450;Cash;Two Day;Yes;Bi Weekly;87;350;449
1451;Venmo;Two Day;Yes;Fortnightly;68;351;450
1452;Cash;Standard;Yes;Bi Weekly;90;352;451
1453;Venmo;Next Day;Yes;Every Three Months;71;353;452
1454;Credit Card;Store Pickup;Yes;Monthly;64;354;453
1455;PayPal;Free Shipping;Yes;Weekly;76;355;454
1456;Credit Card;Two Day;Yes;Every Three Months;42;356;455
1457;Debit Card;Standard;Yes;Weekly;80;357;456
1458;Bank Transfer;Standard;Yes;Bi Weekly;56;358;457
1459;Debit Card;Express;Yes;Every Three Months;25;359;458
1460;Debit Card;Store Pickup;Yes;Every Three Months;74;360;459
1461;Bank Transfer;Standard;Yes;Fortnightly;30;361;460
1462;Bank Transfer;Free Shipping;Yes;Annually;96;362;461
1463;Cash;Free Shipping;Yes;Fortnightly;64;363;462
1464;Cash;Free Shipping;Yes;Fortnightly;88;364;463
1465;Debit Card;Free Shipping;Yes;Every Three Months;88;365;464
1466;PayPal;Standard;Yes;Quarterly;88;366;465
1467;Bank Transfer;Store Pickup;Yes;Fortnightly;36;367;466
1468;Credit Card;Store Pickup;Yes;Monthly;40;368;467
1469;Venmo;Standard;Yes;Monthly;39;369;468
1470;Cash;Store Pickup;Yes;Quarterly;40;370;469
1471;Credit Card;Express;Yes;Weekly;34;371;470
1472;Bank Transfer;Two Day;Yes;Monthly;83;372;471
1473;Credit Card;Standard;Yes;Weekly;85;373;472
1474;Bank Transfer;Express;Yes;Bi Weekly;27;374;473
1475;Bank Transfer;Store Pickup;Yes;Monthly;78;375;474
1476;Debit Card;Standard;Yes;Quarterly;32;376;475
1477;PayPal;Express;Yes;Bi Weekly;51;377;476
1478;Debit Card;Standard;Yes;Every Three Months;32;378;477
1479;Cash;Next Day;Yes;Monthly;62;379;478
1480;Debit Card;Two Day;Yes;Bi Weekly;29;380;479
1481;PayPal;Store Pickup;Yes;Weekly;69;381;480
1482;Debit Card;Store Pickup;Yes;Every Three Months;25;382;481
1483;PayPal;Store Pickup;Yes;Quarterly;76;383;482
1484;Credit Card;Standard;Yes;Quarterly;77;384;483
1485;Credit Card;Two Day;Yes;Annually;33;385;484
1486;Credit Card;Next Day;Yes;Bi Weekly;93;386;485
1487;Cash;Express;Yes;Quarterly;39;387;486
1488;Cash;Store Pickup;Yes;Fortnightly;93;388;487
1489;Credit Card;Store Pickup;Yes;Quarterly;82;389;488
1490;Venmo;Standard;Yes;Monthly;42;390;489
1491;Debit Card;Two Day;Yes;Annually;71;391;490
1492;Cash;Standard;Yes;Fortnightly;86;392;491
1493;PayPal;Next Day;Yes;Annually;82;393;492
1494;Credit Card;Standard;Yes;Fortnightly;65;394;493
1495;PayPal;Store Pickup;Yes;Bi Weekly;29;395;494
1496;Cash;Store Pickup;Yes;Annually;65;396;495
1497;Bank Transfer;Standard;Yes;Annually;88;397;496
1498;Venmo;Free Shipping;Yes;Annually;46;398;497
1499;PayPal;Free Shipping;Yes;Every Three Months;67;399;498
1500;Credit Card;Two Day;Yes;Monthly;35;400;499
1501;Venmo;Free Shipping;Yes;Fortnightly;66;401;500
1502;Bank Transfer;Standard;Yes;Quarterly;91;402;501
1503;PayPal;Express;Yes;Monthly;78;403;502
1504;Credit Card;Next Day;Yes;Annually;45;404;503
1505;Credit Card;Store Pickup;Yes;Monthly;93;405;504
1506;Debit Card;Standard;Yes;Annually;74;406;505
1507;Debit Card;Express;Yes;Monthly;55;407;506
1508;Debit Card;Next Day;Yes;Bi Weekly;76;408;507
1509;Credit Card;Express;Yes;Fortnightly;66;409;508
1510;Debit Card;Two Day;Yes;Monthly;51;410;509
1511;Debit Card;Two Day;Yes;Quarterly;26;411;510
1512;Cash;Express;Yes;Annually;29;412;511
1513;Venmo;Store Pickup;Yes;Weekly;74;413;512
1514;Debit Card;Free Shipping;Yes;Monthly;99;414;513
1515;Bank Transfer;Store Pickup;Yes;Weekly;88;415;514
1516;Venmo;Express;Yes;Monthly;31;416;515
1517;Bank Transfer;Free Shipping;Yes;Fortnightly;55;417;516
1518;PayPal;Free Shipping;Yes;Quarterly;81;418;517
1519;Cash;Standard;Yes;Bi Weekly;73;419;518
1520;Credit Card;Free Shipping;Yes;Every Three Months;91;420;519
1521;Credit Card;Free Shipping;Yes;Bi Weekly;54;421;520
1522;Cash;Standard;Yes;Bi Weekly;40;422;521
1523;Bank Transfer;Store Pickup;Yes;Annually;59;423;522
1524;Bank Transfer;Store Pickup;Yes;Bi Weekly;26;424;523
1525;Credit Card;Standard;Yes;Fortnightly;23;425;524
1526;Debit Card;Store Pickup;Yes;Quarterly;87;426;525
1527;Cash;Express;Yes;Quarterly;71;427;526
1528;Cash;Store Pickup;Yes;Quarterly;91;428;527
1529;Venmo;Free Shipping;Yes;Fortnightly;64;429;528
1530;Venmo;Two Day;Yes;Fortnightly;94;430;529
1531;Debit Card;Store Pickup;Yes;Annually;40;431;530
1532;Credit Card;Store Pickup;Yes;Fortnightly;76;432;531
1533;Debit Card;Free Shipping;Yes;Weekly;86;433;532
1534;Bank Transfer;Store Pickup;Yes;Fortnightly;92;434;533
1535;Bank Transfer;Store Pickup;Yes;Every Three Months;52;435;534
1536;PayPal;Next Day;Yes;Monthly;28;436;535
1537;Cash;Free Shipping;Yes;Weekly;46;437;536
1538;Credit Card;Next Day;Yes;Annually;50;438;537
1539;Cash;Express;Yes;Fortnightly;23;439;538
1540;PayPal;Free Shipping;Yes;Monthly;50;440;539
1541;Debit Card;Store Pickup;Yes;Fortnightly;89;441;540
1542;Bank Transfer;Standard;Yes;Annually;81;442;541
1543;Bank Transfer;Store Pickup;Yes;Quarterly;69;443;542
1544;PayPal;Free Shipping;Yes;Annually;67;444;543
1545;Debit Card;Store Pickup;Yes;Annually;20;445;544
1546;Bank Transfer;Standard;Yes;Annually;29;446;545
1547;Bank Transfer;Store Pickup;Yes;Monthly;74;447;546
1548;Venmo;Standard;Yes;Every Three Months;82;448;547
1549;Credit Card;Next Day;Yes;Fortnightly;23;449;548
1550;PayPal;Two Day;Yes;Monthly;45;450;549
1551;Venmo;Store Pickup;Yes;Monthly;21;451;550
1552;Cash;Express;Yes;Fortnightly;31;452;551
1553;Debit Card;Express;Yes;Fortnightly;45;453;552
1554;Cash;Next Day;Yes;Weekly;56;454;553
1555;Debit Card;Next Day;Yes;Bi Weekly;97;455;554
1556;Credit Card;Store Pickup;Yes;Fortnightly;100;456;555
1557;Bank Transfer;Two Day;Yes;Quarterly;96;457;556
1558;Credit Card;Next Day;Yes;Every Three Months;99;458;557
1559;Debit Card;Two Day;Yes;Monthly;91;459;558
1560;Debit Card;Standard;Yes;Fortnightly;30;460;559
1561;Venmo;Store Pickup;Yes;Weekly;65;461;560
1562;Cash;Express;Yes;Weekly;93;462;561
1563;Debit Card;Express;Yes;Every Three Months;81;463;562
1564;Venmo;Standard;Yes;Weekly;81;464;563
1565;PayPal;Next Day;Yes;Monthly;52;465;564
